"","Genes","Re_Set","Re_direction","De_Set","De_direction"
"15258","Xele.ptg000027l.688","ReT02","Up-regulated","DeT12","Down-regulated"
"15260","Xele.ptg000027l.693","ReT08","Up-regulated","DeT72","Down-regulated"
"15261","Xele.ptg000027l.694","ReT08","Up-regulated","None","None"
"15262","Xele.ptg000027l.695","ReT02","Up-regulated","DeT12","Down-regulated"
"15263","Xele.ptg000027l.697","ReT08","Up-regulated","DeT12","Down-regulated"
"15264","Xele.ptg000027l.698","ReT04","Up-regulated","DeT12","Down-regulated"
"15265","Xele.ptg000027l.700","ReT48","Up-regulated","DeT12","Down-regulated"
"15266","Xele.ptg000027l.701","None","None","DeT09","Down-regulated"
"15269","Xele.ptg000027l.704","None","None","DeT03","Up-regulated"
"15273","Xele.ptg000027l.708","ReT12","Up-regulated","DeT12","Down-regulated"
"15275","Xele.ptg000027l.710","ReT12","Up-regulated","DeT12","Down-regulated"
"15276","Xele.ptg000027l.711","ReT08","Up-regulated","DeT12","Down-regulated"
"15277","Xele.ptg000027l.712","ReT12","Down-regulated","DeT06","Down-regulated"
"15279","Xele.ptg000027l.714","ReT08","Up-regulated","DeT12","Down-regulated"
"15280","Xele.ptg000027l.715","ReT12","Down-regulated","None","None"
"15282","Xele.ptg000027l.717","ReT08","Down-regulated","DeT12","Up-regulated"
"15283","Xele.ptg000027l.718","ReT12","Down-regulated","DeT12","Up-regulated"
"15284","Xele.ptg000027l.719","ReT12","Down-regulated","None","None"
"15285","Xele.ptg000027l.720","ReT08","Down-regulated","DeT72","Up-regulated"
"15287","Xele.ptg000027l.722","None","None","DeT12","Down-regulated"
"15288","Xele.ptg000027l.723","ReT08","Down-regulated","None","None"
"15292","Xele.ptg000027l.727","ReT12","Down-regulated","DeT03","Down-regulated"
"15293","Xele.ptg000027l.728","None","None","DeT03","Down-regulated"
